Individual,Nuchal Crest,L Mastoid ,R Mastoid,L Supra-Orbital Margin,R Supra-Orbital Margin,Glabella,Mental Eminence,L Ventral Arc,R Ventral Arc,L Subpubic Concavity,R Subpubic Concavity,L Ischiopubic Ramus,R Ischiopubic Ramus,L Sciatic Notch,R Sciatic Notch,L Transverse,L Texture,L Micro,L Macro,L Apical,R Transverse,R Texture,R Micro,R Macro,R Apical,L Pubic,R Pubic,L 4th Rib,R 4th Rib,Dental Attrition 
S144V0222,5,4,5,5,5,5,5,,5,4,4,3,3,2,3,5,5,3,2,3,5,5,3,2,3,,4,,,
S233V0304,5,4,4,4,4,5,5,4,4,5,5,5,5,4,4,5,5,3,2,3,5,3,3,2,2,,,,,
S239V0369,,2,2,1,1,2,4,,5,4,4,5,5,5,5,5,5,4,2,2,4,5,3,2,1,,,,,
S242V0338,4,4,4,4,4,5,4,2,,3,,5,,4,5,5,5,3,3,1,4,3,3,3,1,6,,7,,
S297V0498,4,4,4,5,5,5,4,,,,,,,4,4,4,5,3,3,2,3,5,3,3,2,,,,,
S306V0561,4,4,4,5,5,4,5,4,4,5,5,5,4,5,5,5,5,3,3,3,5,5,3,3,2,,,,,
S337V0714,5,4,5,5,2,4,5,4,4,4,4,5,4,5,5,5,5,3,2,2,5,5,3,3,3,4,6,,,
S349V0752,5,5,5,5,4,5,3,4,5,5,,5,,5,5,5,3,3,3,3,5,4,3,3,3,6,6,,,
S477V1030,2,5,5,5,5,5,4,1,1,1,1,1,1,3,4,,,,,,4,4,3,3,3,6,6,,,
S386V0848,1,1,1,1,1,1,1,,,1,,3,,4,4,5,2,1,2,1,,,,,,,,,,
S059V0133,5,5,5,4,4,4,4,3,3,2,2,3,3,3,3,3,4,3,3,2,3,4,3,2,3,3,3,,,
S151V0666,2,3,4,1,1,1,4,,,,,,,1,1,4,5,3,2,1,5,5,2,1,1,,,,,
S198V0601,3,,2,2,2,1,5,,,,,,,2,1,5,3,3,2,2,4,4,3,3,1,,,,,
S0781V1588,1,1,1,3,2,1,2,,,,,,,4,5,4,4,3,2,1,5,5,3,3,2,,,,,
S0621V1180,3,1,1,1,3,1,2,,,,,,,5,5,5,4,3,3,2,4,4,1,2,1,5,5,,,
S0604V1087,3,5,5,1,1,4,3,,3,,1,,2,,1,,,,,,4,4,1,3,2,,5,,,
S1249V2437,5,2,2,2,2,1,4,,,,,,,5,5,3,2,2,2,1,5,2,1,2,2,,,,,
S0280V0218,1,3,3,1,1,1,2,,,,,,,5,5,,,,,,3,4,2,2,1,,,,,
S0914V1862,4,2,1,1,1,3,5,3,3,2,2,2,2,3,3,4,4,3,2,1,4,4,3,2,2,5,6,,,
S0919V1883,3,3,3,5,4,1,5,,,,,,,1,1,3,4,3,3,1,3,4,3,2,1,,,,,
S0806V1655,3,4,3,2,1,2,4,1,1,1,1,2,2,3,3,4,4,3,2,1,2,4,3,2,1,6,6,,,
