Individual,Population,Nuchal Crest,L Mastoid ,R Mastoid,L Supra-Orbital Margin,R Supra-Orbital Margin,Glabella,Mental Eminence,L Ventral Arc,R Ventral Arc,L Subpubic Concavity,R Subpubic Concavity,L Ischiopubic Ramus,R Ischiopubic Ramus,L Sciatic Notch,R Sciatic Notch,L Transverse,L Texture,L Micro,L Macro,L Apical,R Transverse,R Texture,R Micro,R Macro,R Apical,L Pubic,R Pubic,L 4th Rib,R 4th Rib
S237V0348,MB11,5,5,5,3,3,2,4,5,5,5,5,5,5,5,5,3,3,3,2,1,4,2,3,2,1,,,,
S253V0466,MB11,5,4,4,2,2,2,1,5,,5,,5,,5,4,,,,,,5,2,3,2,3,,,,
S285V0452,MB11,4,,3,5,5,5,5,3,3,5,5,4,5,5,5,3,4,3,3,2,3,4,3,3,3,4,4,,
S289V0477,MB11,,3,2,4,4,5,2,4,4,,,4,4,4,4,5,3,2,3,3,4,4,3,2,1,5,4,,
S313V0926,MB11,4,3,2,5,4,5,4,,2,,2,,1,5,5,5,4,3,2,1,5,4,3,2,2,5,5,6,
S342V0737,MB11,5,5,5,5,5,5,3,,,,,,,5,5,5,5,2,3,1,5,4,3,3,1,,,,
S375V0215,MB11,3,1,2,1,1,1,1,4,4,5,5,5,5,5,5,3,1,3,2,2,4,4,3,2,3,5,6,,
S402V0907,MB11,4,2,1,1,1,5,3,4,4,1,1,2,2,5,5,4,4,3,2,2,5,3,3,3,2,4,4,,
S473V1003,MB11,5,3,3,2,2,5,4,,,,,,,5,5,3,5,3,2,2,3,5,2,2,2,,,,
S144V0222,MB11,5,4,5,5,5,5,5,,5,4,4,3,3,2,3,5,5,3,2,3,5,5,3,2,3,,4,,
S233V0304,MB11,5,4,4,4,4,5,5,4,4,5,5,5,5,4,4,5,5,3,2,3,5,3,3,2,2,,,,
S239V0369,MB11,,2,2,1,1,2,4,,5,4,4,5,5,5,5,5,5,4,2,2,4,5,3,2,1,,,,
S242V0338,MB11,4,4,4,4,4,5,4,2,,3,,5,,4,5,5,5,3,3,1,4,3,3,3,1,6,,7,
S297V0498,MB11,4,4,4,5,5,5,4,,,,,,,4,4,4,5,3,3,2,3,5,3,3,2,,,,
S306V0561,MB11,4,4,4,5,5,4,5,4,4,5,5,5,4,5,5,5,5,3,3,3,5,5,3,3,2,,,,
S337V0714,MB11,5,4,5,5,2,4,5,4,4,4,4,5,4,5,5,5,5,3,2,2,5,5,3,3,3,4,6,,
S349V0752,MB11,5,5,5,5,4,5,3,4,5,5,,5,,5,5,5,3,3,3,3,5,4,3,3,3,6,6,,
